Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization
1,3,0,30,69.45,3.60525484684071,86.15,86.7583333333333,85.6416666666667,85.5583333333333
1,3,10,30,68.15,4.29005725846471,86.1833333333333,86.3083333333333,85.6666666666667,84.75
1,3,20,30,67.8,3.58250158803419,85.6166666666667,85.975,84.5333333333333,84.4166666666667
1,3,30,30,66,3.38691288434911,82.5583333333333,81.8916666666667,82.5666666666667,82.675
1,3,40,30,65.2,4.25979396018575,80.825,80.6,80.5916666666667,80.9666666666667
1,3,50,30,65.25,3.51464180025025,81.75,80.775,82.1916666666667,80.8416666666667
1,4,10,35,75.6,8.09984667845194,94.1333333333333,94.2666666666667,94.1666666666667,94.1916666666667
1,4,20,35,75.9,8.44033656220498,94.85,94.6166666666667,93.9166666666667,93.4583333333333
1,4,30,35,76.3,9.8638943072101,95.3666666666667,95.3583333333333,95.575,94.4666666666667
1,4,40,35,73.55,8.99246314744726,91.475,90.65,90.6083333333333,90.175
1,4,0,40,70.5,4.51095333784352,88.1166666666667,89.1583333333333,89.0333333333333,88.1083333333333
1,4,10,40,67.8,4.48890299267604,83.85,83.8666666666666,83.6416666666667,83.825
1,4,20,40,67.75,5.42290496689502,86.125,87.0166666666667,85.2333333333333,85.8166666666667
1,4,30,40,68.6,3.95915061157494,84.425,84.9166666666667,85.85,83.55
1,4,40,40,66,4.48987860967739,83.2833333333333,82.9166666666667,83.5833333333333,82.9583333333333
2,3,0,35,70.1,3.94890646157716,86.8916666666667,86.9416666666667,87.025,86.65
2,3,10,35,67.55,4.07114904560137,84.7166666666667,83.8166666666667,84.7666666666667,84.3166666666667
2,3,20,35,67.95,4.4834890631375,86.9083333333333,85.4583333333333,84.2416666666667,87.2916666666667
2,3,30,35,67.65,4.46952752960798,85.1416666666667,84.2166666666667,84.4666666666667,84.3833333333333
2,4,0,35,70.25,4.72341257512884,88.475,87.0333333333334,88.975,88.2083333333333
2,4,10,35,68.3,3.97544110045646,85.2833333333333,85.7666666666667,85.3916666666667,85.5166666666667
2,4,20,35,67.9,4.0082479260951,84.5166666666667,85.3916666666667,83.5666666666667,85.3166666666667
2,4,30,35,67.65,3.40822510536505,84.0666666666667,83.5666666666667,83.6666666666667,83.3666666666667
2,4,40,35,66.2,3.7313290404238,82.9,82.425,82.6916666666667,83.5916666666667
2,5,20,30,77.4,9.38760940563988,97.6166666666667,96.2,97.2333333333333,96.3583333333333
2,5,0,35,69.85,4.11303971463559,86.85,86.9166666666667,87.1166666666667,87.9
2,5,10,35,68,3.74150807765735,84.375,84.85,84.525,84.525
2,5,20,35,68.1,4.58354014008412,83.725,83.2333333333333,83.8083333333333,83.75
2,5,30,35,67.85,5.62330031085327,85.575,86.7833333333333,85.7166666666667,85.2916666666667
3,3,0,30,67.7,2.76677710080444,83.4833333333333,84.7583333333333,84.225,84.35
3,3,10,30,67.6,3.47974451007617,85.4166666666667,85.35,85.1333333333333,85.2583333333333
3,3,20,30,66.35,2.63666495908978,81.7583333333333,81.5,82.1916666666667,81.4166666666667
3,3,30,30,65.85,4.36974407430317,81.6166666666667,81.4166666666667,81.1583333333333,80.95
3,4,0,35,77.1,7.11588225835811,95.075,94.8166666666667,93.9916666666667,94.4583333333333
3,4,10,35,75.7,8.29627136739213,95.275,96.05,95.325,93.5083333333333
3,4,30,35,73.7,9.07248413214641,93.3666666666667,92.3916666666667,91.9416666666667,91.5666666666667
3,4,50,35,70.7,9.56169381335548,90.8333333333333,89.1,88.875,88.9166666666667
3,4,0,40,68.4,3.57408030563273,86.2083333333333,86.3083333333333,87.1166666666667,85.5916666666667
3,4,10,40,67.35,3.28757877049342,83.85,83.3083333333333,84.2,83.225
3,4,20,40,67.1,4.14013973237051,82.8083333333333,84.5333333333333,82.8333333333333,83.1083333333333
3,4,30,40,65.65,3.32760772996575,81.625,81.1166666666667,82.2416666666667,82.725
3,4,40,40,64.8,3.94217207401743,81.8083333333333,82.1666666666667,82.3166666666667,81.4333333333334
