Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization,LowerCI,UpperCI
1,3,0,28,47.022,9.18329110253691,98.9696111111111,98.6489444444442,98.0218888888886,95.9261111111111,9.01187850946404,9.35470369560978
2,3,0,34,46.9984,7.98080996464389,98.2579999999997,98.1883333333333,98.0184444444446,97.3928888888888,7.8401605693517,8.12145935993609
3,4,0,38,46.2862,8.01506060726501,97.5974444444444,96.8326666666668,95.9596666666666,94.8221666666667,7.86246940672516,8.16765180780486
1,3,15,28,46.705,9.12453594144412,98.3709444444445,98.0526666666666,97.5663888888888,95.3583888888888,8.95710708585052,9.29196479703772
2,3,15,34,45.855,7.67936684531727,95.7101666666669,95.6007777777777,95.287111111111,94.8509444444442,7.54254828136827,7.81618540926627
3,3,15,28,45.3658,8.71764413458997,95.8206666666665,95.0207777777779,93.956722222222,92.8291111111112,8.55296099330125,8.8823272758787
1,4,30,38,44.012,9.05125060455779,92.1606666666666,91.9236111111113,91.6890555555558,91.2246666666667,8.89604975720952,9.20645145190605
3,3,30,28,43.6244,8.53058353388914,92.2523333333334,91.4031666666666,90.4381111111111,89.3895555555555,8.36596474365916,8.69520232411913
2,3,30,34,42.9884,7.55121950591729,89.9087777777781,89.8061666666667,89.4747222222224,89.1772777777777,7.4101527927754,7.69228621905918
1,3,0,38,37.9954,2.18733739930214,79.3801666666667,79.3564999999999,79.1187222222222,78.2638333333332,2.14156740742251,2.23310739118177
3,3,0,38,36.8726,1.87147809644571,77.1578888888888,76.9534444444445,76.717388888889,76.5750000000002,1.82821651627635,1.91473967661508
1,3,15,36,37.9792,2.65566699596357,79.5377222222223,79.4883888888888,79.1906666666667,78.2425000000002,2.60086093502321,2.71047305690394
3,3,15,36,37.2646,2.36350606336374,77.9204999999998,77.6981111111112,77.5502222222222,77.2457777777778,2.30841264714098,2.4185994795865
1,3,30,34,38.0018,3.25775533294428,79.5869999999999,79.4951111111109,79.3378888888887,78.3979444444445,3.18886898881388,3.32664167707468
3,3,30,34,37.5488,3.09357781039571,78.7640555555554,78.4944999999997,78.0267777777778,77.7968888888889,3.02305394700572,3.16410167378569
1,3,45,34,37.7146,3.2346612136221,78.9390555555558,78.8239444444444,78.8441111111113,77.6126666666665,3.16626637983565,3.30305604740854
3,3,45,32,37.747,3.88982224840515,79.182111111111,78.8399444444444,78.3035,77.834611111111,3.80341250583873,3.97623199097156
2,3,45,40,36.0014,3.61608524303605,75.2437777777779,75.0512222222221,74.8775,74.765111111111,3.54580731971675,3.68636316635535
1,3,60,32,37.9784,4.12409178544942,79.6522222222225,79.376277777778,79.2596666666667,78.2427777777778,4.03701884490805,4.21116472599078
3,3,60,32,36.5808,3.83071094198849,76.7377222222221,76.4138888888888,76.028888888889,75.5519444444444,3.7450830338236,3.91633885015339
2,3,60,40,35.9902,3.63903555863692,75.1293333333333,75.0780555555557,75.0689444444444,74.6913333333333,3.56929118426797,3.70877993300587
